,Unnamed: 0,username,description,location,likes,retweets,following,followers,totaltweets,text,hashtags,date,langs
67,67,marissa_frankl,,,0,0,303,157,6256,These Madera County CA citrus workers are hard at work  covering the trees with mesh so you can enjoy sweet seedles… https://t.co/tmwQwmEewY,[],2020-03-21 23:59:59,en
69,69,braddydaddylol,"hey, hi",,0,0,59,30,93,POV: you’re 80 and your shitty sorority granddaughter that talks to you like this is giving you COVID-19 https://t.co/AoV2gpNJ1E,[],2020-03-21 23:59:59,en
71,71,santafeez,"American activist, citizen journalist, photographer - We Rise in support of Human Rights in Palestine & Human Rights world-wide. Lived in Gaza in 2014 & 2015.",United States ,0,0,17308,17633,175755,The Ministry of Health in #Gaza has just revealed that the first two #coronavirus cases were reported here for two… https://t.co/bBp6utGLs9,"['Gaza', 'coronavirus']",2020-03-21 23:59:59,en
72,72,buzzinginmyhead,Even the most patient person has limits. Don't mess with a writer.,"National Capital Region, Repub",0,0,134,29,200,"China sends masks, gloves and test kits to nations affected by COVID-19 https://t.co/4jY6vLSEde",[],2020-03-21 23:59:59,en
75,75,CompanyKwo,,,0,0,10,2,9047,"A MESSAGE FROM @StateDept @SecPompeo. #COVID19 

🌐https://t.co/s6BGagG63J
🌐https://t.co/EBuzMFrvIC
🌐… https://t.co/EHoLqpg3Gi",['COVID19'],2020-03-21 23:59:59,en
77,77,yxlearn,Healthcare practitioner,"Las Vegas, Nevada, USA",0,0,806,211,1397,"#COVID19
HYDROXYCHLOROQUINE &amp; AZITHROMYCIN, taken together, have a real chance to be one of the biggest game change… https://t.co/vjOXb9yZ8m",['COVID19'],2020-03-21 23:59:59,en
78,78,caichee,"WINDFISH IN NAME ONLY, FOR IT IS NEITHER.",in a box,0,0,42,12,823,See more about the estimates and the researchers' warnings — and how the rate of coronavirus infections could vary… https://t.co/Kig3iZkwBF,[],2020-03-21 23:59:59,en
80,80,honour_del,NOT a bot....just a school librarian who does NOT want to carry a gun. (Private Account),Proud Californian,0,0,690,66,2873,"‘Without taking drastic measures, the healthy and optimistic among us will doom the vulnerable’ — Literally everyon… https://t.co/8w7eVqb6nk",[],2020-03-21 23:59:59,en
82,82,EIITFS,"I am a business owner,Brighter Visions who works with developmentally delayed or disabled children. I LOVE what I do!!!","North Carolina, USA",0,0,871,214,3619,Meredith College: Adopt an Impacted Student Fund to help students affected by COVID-19 at Meredith College - Sign t… https://t.co/tVAQxJZeCr,[],2020-03-21 23:59:59,en
83,83,InfiniteWaters,"Youtuber, Influencer & Author 
1.7 million followers on YouTube. Awarded a YouTube Gold Award. Follow me on instagram: @officialralphsmart",Everywhere,12,3,0,47123,29274,A MUST SEE! WITH THE CORONAVIRUS YOU MUST LEARN TO BOOST YOUR IMMUNE SYSTEM THIS IS YOUR LAST HOPE. HEALTH IS WEALT… https://t.co/dHQamhINOi,[],2020-03-21 23:59:59,en
84,84,LaaiqahIsmail,"Breathe in experience, breathe out poetry✨ Persian Arabian British Irish 🇦🇪🇿🇦",South Africa,0,0,348,404,8621,Yo al Coronavirus https://t.co/ei9PNwgq1F,[],2020-03-21 23:59:59,en
